unemployment_rate,personal_consumption,govt_expenditure,m1_money_supply,m2_money_supply,federal_debt,gdp
5.993428306022466,16624.108625128094,6273.012790070132,2885.9186417669125,6343.122857377135,19735.797890243517,13650.937191632163
4.72347139765763,19277.406646422412,7937.593022121832,3369.06916626221,7124.669595819288,15970.797916995229,13349.802862678338
6.295377076201385,16037.900395000193,8036.033744088893,3057.939816425755,6580.034967589641,18621.000340370705,12400.063803404735
8.046059712816051,18460.1923518048,8945.260691686812,3452.0041812588624,7540.338618815758,25717.853820141598,14378.155852805256
4.531693250553328,10531.926665231073,5266.283273438347,3785.849689288811,8743.592514458342,30222.853240244112,9000.54140124309
4.531726086101639,21066.468536864693,9185.13454769466,4837.154486331385,8220.32076061842,24563.898646908587,17291.26720869341
8.158425631014783,20006.027376811122,2591.2167367944494,3678.8409612942974,8479.497359509029,20813.78566777416,14438.976139037803
6.534869458305818,15914.556844659048,6740.23089527238,2414.3742932304076,5789.036635352897,31984.09416243542,12342.378945793927
4.061051228130096,23296.228342162027,7023.452315096911,5140.067846495161,8461.966076497654,17497.308215587822,17643.42086940239
6.085120087171929,24687.850688132792,9266.653652142477,3162.9098663849604,7817.785561059531,28247.354706935257,18656.379978210087
4.0731646143750755,11962.200678155128,8045.261705353738,3941.279572895371,8678.828675301465,17695.49761318977,10147.204570835025
4.068540492859486,16186.37610716893,5188.873892287427,4446.536506940712,9127.664456350834,23448.183664087144,13497.620296580428
5.483924543132068,16154.28825106351,6030.013748365969,4199.610418402783,7146.97249182827,19091.499481676386,12032.563824254215
1.1734395106844042,15300.484494455677,8397.360019094815,5094.179547521476,8721.418765063834,19553.182538777513,14253.33451383426
1.5501643349739345,24147.37420965874,7841.865316270887,4479.003143392759,9137.394016995415,16980.907860302323,19337.974994484433
3.8754249415180544,19030.86930613598,6841.751780728508,3138.690420302892,7171.923892754008,30758.832249445557,14667.989361484173
2.9743377593311524,18677.425793446946,7038.332420976041,6178.562173991662,9319.607897033691,14136.59169513172,15809.44628318485
5.628494665190548,9980.688177966233,9392.335994318579,4194.333463338233,8560.987814638585,14078.141979610333,8775.274063891575
3.1839518489575784,23177.090151046134,6964.61485426157,3852.659773378494,7280.813966185317,36967.948526760876,19093.012744913416
2.175392597329417,13803.708025732638,7823.817511941854,4963.925423055571,10399.54530176934,27822.780517234653,12627.043197075393
7.931297537843108,20299.663151331642,12339.873176161085,4249.4509459300725,9485.324115864678,1000.0,15616.431513893978
4.548447399026928,21386.884689790957,5152.634726232154,4399.228192939327,8882.50613402378,15477.93008631677,16680.45011046042
5.1350564093758475,26803.292979193255,4296.314536850683,6492.183998600687,11580.989362416505,5504.0852995035675,20344.176380012355
2.1505036275730864,13455.89800440444,9567.179329597213,3724.878571744953,7776.711651843658,12394.474452677958,12899.690966393802
3.9112345509496347,4902.4392208958725,6642.713877411794,3682.239105982604,8294.589101482616,1000.0,5251.867445383941
